SM_revenue,reg_revenue,im_revenue,im_special_revenue_DK1,Deg_cost,Deg_cost_by_cycle,,Date,DEMS with imperfect forecast,DROEMS,DEMS with perfect forecast,,,,,,DEMS with imperfect forecast,
13938.06304,0,2317.787482,3803.770327,11243.821,1941.53949,,5/6/2030,14007.08632,14666.97253,13914.99024,-0.006618479,,,,,14007.08632,14748.66358
719.0871114,0,-2322.253179,2607.871282,9379.614871,1902.891646,,5/7/2030,-3479.089042,-992.2663843,-721.9850707,3.818782524,,,,,-3479.089042,-777.1744001
4459.725875,0,-13364.00387,3879.495614,3157.745664,1355.528527,,5/8/2030,-9535.827129,-419.07944,-651.7982442,13.63002887,,,,,-9535.827129,-488.0444078
14585.05903,0,-11851.25473,4178.143756,6730.481815,-522.7617719,,5/9/2030,1387.70794,12027.89363,12125.16605,0.885551428,,,,,1387.70794,12404.62461
39037.1767,0,-17028.59529,4233.658399,6584.760655,565.2767427,,5/10/2030,20691.62928,11372.05156,22617.00728,0.085129654,,,,,20691.62928,11355.11612
47409.53891,0,-6768.277767,3696.69363,10579.86412,527.2348622,,5/11/2030,38525.28832,34732.35385,37917.97851,-0.016016408,,,,,38525.28832,36970.7226
52965.94745,0,-27082.57879,8834.300073,3155.275056,1758.236022,,5/12/2030,25252.31364,46046.08532,47348.14016,0.466667253,,,,,25252.31364,45638.21275
150322.1168,0,-93.10070956,0,10349.71643,-511.2970344,,5/13/2030,148159.0728,146959.1216,151616.1219,0.022801329,,,,,148159.0728,147894.2827
115244.2069,0,-19675.51535,11619.48167,6015.495929,1708.185627,,5/14/2030,94365.59236,56283.52269,92943.10979,-0.015304874,,,,,94365.59236,76520.30682
20291.15021,0,-595.7347558,106.6949918,12201.36964,380.129115,,5/15/2030,17255.14152,18712.85632,18087.82439,0.046035546,,,,,17255.14152,18326.34424
1464.239612,0,-2658.739461,49.3672981,5771.392018,2309.55133,,5/16/2030,-2348.778253,-140.772095,-519.1445203,3.524324463,,,,,-2348.778253,-420.1047127
24415.29123,0,3891.992106,15186.74473,8372.361365,320.0546224,,5/17/2030,26632.81106,8104.181647,49696.32855,0.464088961,,,,,26632.81106,12430.96301
10587.25701,0,9286.913908,16735.20076,7398.63739,1140.225448,,5/18/2030,18394.44344,10778.10044,31100.35341,0.408545517,,,,,18394.44344,10882.38635
6871.696688,0,-2621.093017,885.1547137,8707.486953,844.2179307,,5/19/2030,2509.10628,3283.564225,3198.641369,0.215571241,,,,,2509.10628,3397.069409
3099.516271,0,450.0433401,194.8119614,11544.00861,1266.026303,,5/20/2030,1240.757888,1845.096119,1616.41328,0.232400585,,,,,1240.757888,1752.642016
1440.469784,0,1133.453006,290.5222145,7896.764262,2178.452974,,5/21/2030,994.5699369,957.8497741,5877.626338,0.830787144,,,,,994.5699369,1192.012909
8380.205061,0,6957.910798,3964.527943,7438.468004,1034.301789,,5/22/2030,13850.42226,13387.67549,13352.13018,-0.037319295,,,,,13850.42226,13493.23703
19109.9145,0,-7486.93831,2249.495938,8247.706311,897.1937416,,5/23/2030,9973.434929,12490.85418,12632.20648,0.210475625,,,,,9973.434929,13295.94854
9823.209981,0,-5437.118196,1615.324014,3928.387649,1165.915775,,5/24/2030,3600.414255,6027.295414,6177.14838,0.417139749,,,,,3600.414255,5566.859668
3102.091575,0,-778.4363106,123.8660267,6552.714467,-216.1318701,,5/25/2030,1013.112371,668.841895,3676.443063,0.724431372,,,,,1013.112371,823.3756912
4235.881311,0,-3852.948763,498.9251346,3756.679259,633.7592299,,5/26/2030,-368.403304,1067.445716,750.754102,1.49071101,,,,,-368.403304,1221.05237
111.3739672,0,941.7439053,1068.58594,8877.511611,-265.2227542,,5/27/2030,-722.3844497,113.6058337,29.53188977,25.46116572,,,,,-722.3844497,32.4655908
4473.286765,0,-85.20772349,22.60272487,9288.719055,1399.929394,,5/28/2030,2530.335231,1636.132525,2047.628351,-0.235739498,,,,,2530.335231,2071.081541
