SM_revenue,reg_revenue,im_revenue,im_special_revenue_DK1,Deg_cost,Deg_cost_by_cycle,,
58452.12293,0,-5163.408311,1805.439932,8014.467447,2297.191311,,51685.82113
57078.68421,0,-20576.99847,7642.803827,4986.398432,2670.446769,,35504.40605
38113.78322,0,8914.049476,664.10956,6733.226838,1113.456641,,45681.18733
25787.25417,0,-18144.61875,8344.83799,2605.546733,2035.863761,,7121.526074
10399.95831,0,-1213.505133,365.4728004,4287.18926,-115.352412,,8329.015326
1886.383596,0,2740.497276,4004.716396,4818.937093,770.7746108,,3663.093453
1357.690202,0,3794.001686,3237.200688,4493.317557,1057.742932,,4253.028377
155798.6409,0,9497.842322,1797.841169,5635.679346,893.6922286,,164169.3473
38124.08735,0,-25567.3967,14034.68324,2843.609096,1507.439439,,11987.96883
35400.48841,0,6445.580228,2094.142305,6103.26339,31.58740682,,40625.41596
29389.92065,0,-35183.65492,16146.61207,2754.536433,1774.474169,,-6344.641563
6169.443436,0,-219.1325128,68.42232299,5577.671376,-6.899032296,,4834.776648
53706.32199,0,7897.48862,10031.44109,4410.107183,1511.606246,,60721.78918
41040.58671,0,120.1422203,587.150446,5324.797765,893.3836787,,40095.76938
14772.87116,0,-13080.18667,4118.141659,2200.59133,1395.225227,,1252.566224
20303.57078,0,5048.838405,76.13359427,6311.551868,-288.8371301,,24090.09881
102021.7343,0,25165.06026,13167.0686,4841.206139,1946.824107,,126218.5533
25209.70982,0,1653.020641,1774.572249,6239.909395,1158.512131,,25614.74858
25340.31,0,-7023.403518,2050.948839,4534.954031,1933.856283,,17409.91568
1325.061253,0,-1305.846111,0,2244.52686,1010.216966,,-429.6902306
67262.43667,0,-85561.7665,32404.09541,1823.744447,-244.7382307,,-18664.07872
20177.48193,0,-12969.83829,832.1022473,1901.327707,-474.9509503,,6827.378094
4377.09623,0,2367.26193,1354.694784,6015.479851,-430.8373044,,5541.26219
9872.171968,0,-2656.007586,0.447448707,2751.759221,1849.002758,,6665.812537
70414.95784,0,-31436.82826,3811.932773,1659.89189,47.32816201,,38646.15121
124404.5635,0,-6879.834263,792.6828824,5196.815744,-557.38892,,116485.3661
